CountryName,HappinessScore,GDP,LifeExpectancy,Equality,Corruption,EducationExpenditure,TouristsOutbound,TouristsInbound,PM25AirPollution,Population
South Sudan,3.59100008,237,57.29,2,1.500,,,,100.0,"12,575,714"
Syrian Arab Republic,3.461999893,100,70.96,,,,,,100.0,"18,269,868"
"Venezuela, RB",5.25,100,74.73,,,,"1,079,000","427,000",99.9,"31,977,065"
Burundi,2.904999971,292,57.86,4,1.500,"163,940,643",,"299,000",100.0,"10,864,245"
Malawi,3.970000029,338,63.67,3.5,2.500,"291,084,930",,"837,000",100.0,"18,622,104"
Niger,4.027999878,378,60.42,2.5,3.000,"428,147,431",,"164,000",100.0,"21,477,348"
Central African Republic,2.693000078,418,52.89,2.5,2.500,"22,476,357",,,100.0,"4,659,080"
Mozambique,4.550000191,426,58.87,3.5,2.500,"659,157,643",,"1,447,000",100.0,"29,668,834"
Madagascar,3.644000053,450,66.31,4,2.500,"231,837,689",,"255,000",100.0,"25,570,895"
"Congo, Dem. Rep.",4.290999889,463,60.03,2.5,2.000,"759,993,770",,,100.0,"81,339,988"
Somalia,5.151000023,478,56.71,2,1.500,"69,588,858",,,100.0,"14,742,523"
Sierra Leone,4.709000111,500,52.21,3,3.000,"100,811,970",,,100.0,"7,557,212"
Afghanistan,3.79399991,550,64.05,1.5,2.000,"507,395,511",,,100.0,"35,530,081"
Uganda,4.080999851,606,60.18,3,2.000,"510,853,205",,"1,402,000",100.0,"42,862,958"
Togo,3.494999886,610,60.48,3,3.000,"240,926,907",,"496,000",100.0,"7,797,694"
Burkina Faso,4.032000065,642,60.77,3.5,3.500,"513,783,201",,"143,000",100.0,"19,193,382"
Chad,3.936000109,663,53.21,2.5,2.500,"171,981,378","52,000","87,000",100.0,"14,899,994"
Liberia,3.532999992,694,63.01,3,3.000,"109,161,883",,,100.0,"4,731,906"
Rwanda,3.470999956,748,67.50,4.5,3.500,"282,033,592",,,100.0,"12,208,407"
Haiti,3.602999926,766,63.59,2.5,2.500,"123,682,263",,"467,000",100.0,"10,981,229"
Ethiopia,4.460000038,768,65.87,3,3.000,"2,461,524,927",,"933,000",100.0,"104,957,438"
Tajikistan,5.040999889,801,71.21,4,2.500,"310,664,911","31,000","431,000",100.0,"8,921,343"
Guinea,3.506999969,823,60.62,3,2.500,"203,186,830",,,100.0,"12,717,176"
Mali,4.190000057,827,58.46,2.5,3.000,"559,661,166",,"193,300",100.0,"18,541,980"
Benin,3.657000065,827,61.17,3.5,3.500,"369,627,443",,"281,000",100.0,"11,175,692"
Nepal,4.961999893,849,70.60,4,3.000,"816,829,414","1,197,000","940,000",100.0,"29,304,998"
Tanzania,3.348999977,958,66.31,3,3.000,"1,943,576,493",,"1,275,000",100.0,"57,310,019"
"Yemen, Rep.",3.592999935,"1,107",65.16,1.5,1.500,"1,122,464,759",,,100.0,"28,250,420"
Mauritania,4.291999817,"1,137",63.38,3.5,3.000,"144,913,166",,,100.0,"4,420,184"
Lesotho,3.808000088,"1,154",54.57,4,3.000,"281,806,576",,"1,137,000",100.0,"2,233,339"
Kyrgyz Republic,5.004000187,"1,220",71.20,4.5,3.000,"419,483,758","4,446,000","4,568,000",97.4,"6,198,200"
Myanmar,4.545000076,"1,257",66.74,3,2.500,"1,157,034,904",,"3,443,000",100.0,"53,370,609"
Senegal,4.534999847,"1,329",67.48,3.5,3.500,"1,325,353,641",,"1,365,000",100.0,"15,850,567"
Zimbabwe,3.875,"1,333",61.71,4,2.000,"383,520,299","2,768,000","2,423,000",100.0,"16,529,904"
Cambodia,4.168000221,"1,384",69.33,4,2.000,"416,872,773","1,752,000","5,602,000",100.0,"16,005,373"
Cameroon,4.695000172,"1,452",58.58,3,2.500,"918,204,925",,,100.0,"24,053,727"
Zambia,4.513999939,"1,513",62.26,3,3.000,"265,032,376",,"1,083,000",100.0,"17,094,130"
Bangladesh,4.607999802,"1,517",72.81,3,2.500,"3,235,830,733",,,100.0,"164,669,751"
Uzbekistan,5.971000195,"1,534",71.42,4,2.000,"4,834,019,604",,"2,690,000",100.0,"32,387,200"
Pakistan,5.269000053,"1,548",66.63,2.5,3.000,"6,528,064,307",,,100.0,"197,015,955"
Kenya,4.552999973,"1,595",67.29,3.5,3.000,"3,867,713,938",,"1,364,000",100.0,"49,699,862"
"Congo, Rep.",4.28000021,"1,654",65.09,3,2.000,"198,051,023",,"206,000",100.0,"5,260,750"
Nigeria,5.073999882,"1,968",53.88,3,3.000,"3,094,000,000",,,100.0,"190,886,311"
India,4.315000057,"1,979",68.80,,,"79,156,000,000","23,943,000","15,543,000",100.0,"1,339,180,127"
Ghana,4.119999886,"2,046",63.03,4,3.500,"3,272,965,162",,,100.0,"28,833,629"
Nicaragua,6.071000099,"2,222",75.65,4,2.500,"550,386,534","982,000","1,787,000",99.9,"6,217,581"
Moldova,5.837999821,"2,290",71.72,4.5,2.500,"492,882,137","229,000","145,000",100.0,"3,549,196"
Vietnam,5.073999882,"2,342",76.45,,,"9,804,496,838",,"12,922,000",100.0,"95,540,800"
"Egypt, Arab Rep.",4.735000134,"2,413",71.66,,,"10,189,700,136",,"8,157,000",100.0,"97,553,151"
Honduras,5.181000233,"2,480",73.77,3.5,3.000,"1,350,303,311",,"851,000",100.0,"9,265,067"
Ukraine,4.096000195,"2,640",71.78,,,"5,335,041,006","26,437,000","14,230,000",100.0,"44,831,135"
Sudan,4.138999939,"2,899",64.70,2.5,1.500,"2,332,600,000",,"813,000",100.0,"40,533,330"
Philippines,5.429999828,"2,989",69.24,,,"6,936,800,000",,"6,621,000",96.4,"104,918,090"
Morocco,5.235000134,"3,023",76.06,,,"5,564,000,000","1,849,000","11,349,000",100.0,"35,739,580"
Bhutan,5.011000156,"3,130",70.57,4,4.500,"158,074,468",,"255,000",100.0,"807,610"
Bolivia,5.822999954,"3,394",69.47,,,"2,213,210,491","1,105,000","1,134,000",100.0,"11,051,600"
Tunisia,4.804999828,"3,464",75.94,,,"2,282,607,919",,"7,052,000",100.0,"11,532,127"
Mongolia,4.954999924,"3,717",69.47,4,3.500,"423,622,607",,"469,000",97.0,"3,075,647"
Indonesia,5.262000084,"3,846",69.36,,,"32,096,193,800","8,856,000","14,040,000",95.6,"263,991,379"
El Salvador,6.002999783,"3,889",73.75,,,"885,804,035","1,871,000","1,556,000",100.0,"6,377,853"
Armenia,4.375999928,"3,937",74.78,,,"293,952,750","1,482,000","1,495,000",100.0,"2,930,450"
Kosovo,5.278999805,"3,957",71.95,3.5,3.000,,,,,"1,830,700"
Georgia,4.285999775,"4,045",73.44,,,"251,121,359","3,851,000","6,483,000",100.0,"3,728,004"
Algeria,5.872000217,"4,055",76.29,,,"7,370,872,740","5,058,000","2,451,000",100.0,"41,318,142"
Sri Lanka,4.440000057,"4,074",75.49,,,"1,962,027,037","1,439,000","2,116,400",45.5,"21,444,000"
Angola,3.795000076,"4,100",61.81,,,"4,212,600,000",,"261,000",100.0,"29,784,193"
Jordan,5.335999966,"4,130",74.48,,,"1,361,037,665","1,592,000","3,843,500",100.0,"9,702,353"
Azerbaijan,5.234000206,"4,135",72.12,,,"1,188,084,302","4,109,000","2,454,000",100.0,"9,854,033"
